rank,route_number,route_name,ridership
1,504,King,64579
2,32,Eglinton West,48684
3,35,Jane,45699
4,36,Finch West,43952
5,510,Spadina,43804
6,501,Queen,43464
7,29,Dufferin,39721
8,506,Carlton,39601
9,25,Don Mills,39066
10,512,St. Clair,38113
11,54,Lawrence East,36277
12,505,Dundas,32410
13,60,Steeles West,29819
14,34,Eglinton East,29501
15,53,Steeles East,28278
16,95,York Mills,27485
17,85,Sheppard East,27146
18,102,Markham Rd.,25137
19,24,Victoria Park,24731
20,96,Wilson,24700
21,41,Keele,24597
22,165,Weston Rd. North,24314
23,7,Bathurst,24262
24,39,Finch East,23745
25,52,Lawrence West,23036
26,63,Ossington,22694
27,116,Morningside,22285
28,196,York University Rocket,21892
29,84,Sheppard West,19143
30,199,Finch Rocket,19055
31,45,Kipling,18682
32,58,Malton,18177
33,68,Warden,17887
34,511,Bathurst,17394
35,37,Islington,17087
36,86,Scarborough,16381
37,100,Flemingdon Park,15807
38,43,Kennedy,15494
39,47,Lansdowne,15354
40,129,McCowan North,15222
41,89,Weston,15148
42,191,Hwy. 27 Rocket,12838
43,17,Birchmount,12407
44,57,Midland,11614
45,509,Harbourfront,11572
46,16,McCowan,11279
47,38,Highland Creek,10262
48,76,Royal York South,10063
49,190,Scarborough Rocket,10061
50,133,Neilson,9950
51,134,Progress,9735
52,73,Royal York,9598
53,12,Kingston Rd.,9571
54,21,Brimley,9542
55,44,Kipling South,9387
56,11,Bayview,9317
57,94,Wellesley,8983
58,110,Islington South,8972
59,42,Cummer,8610
60,70,O'Connor,8605
61,79,Scarlett Rd.,8362
62,168,Symington,8285
63,87,Cosburn,8191
64,6,Bay,7944
65,112,West Mall,7922
66,106,York University,7687
67,75,Sherbourne,7468
68,22,Coxwell,7092
69,46,Martin Grove,6927
70,108,Downsview,6841
71,72,Pape,6839
72,161,Rogers Rd.,6606
73,123,Shorncliffe,6448
74,90,Vaughan,6417
75,64,Main,6409
76,111,East Mall,6376
77,131,Nugget,6270
78,23,Dawes,6193
79,20,Cliffside,6112
80,81,Thorncliffe Park,6039
81,91,Woodbine,5589
82,69,Warden South,5494
83,67,Pharmacy,5318
84,109,Ranee,5270
85,88,South Leaside,5008
86,40,Junction,4809
87,113,Danforth Rd.,4795
88,105,Dufferin North,4781
89,66,Prince Edward,4704
90,192,Airport Rocket,4644
91,97,Yonge,4175
92,51,Leslie,4117
93,107,Keele North,4111
94,9,Bellamy,4081
95,65,Parliament,3961
96,122,Graydon Hall,3887
97,502,Downtowner,3812
98,56,Leaside,3758
99,124,Sunnybrook,3692
100,26,Dupont ,3608
101,61,Avenue Rd. North,3603
102,71,Runnymede,3568
103,160,Bathurst North,3504
104,104,Faywood,3326
105,31,Greenwood,3311
106,92,Woodbine South,3159
107,49,Bloor West,3124
108,50,Burnhamthorpe,3111
109,125,Drewry,2897
110,62,Mortimer,2860
111,132,Milner,2810
112,117,Alness,2771
113,59,Maple Leaf,2739
114,15,Evans,2724
115,98,Willowdale-Senlac,2644
116,126,Christie,2607
117,77,Swansea,2554
118,30,Lambton,2516
119,14,Glencairn,2491
120,48,Rathburn,2477
121,135,Gerrard,2358
122,83,Jones,2283
123,80,Queensway,2224
124,503,Kingston Rd. ,2214
125,224,Victoria Park North,2074
126,5,Avenue Rd.,2057
127,130,Middlefield,1944
128,139,Finch-Don Mills,1943
129,78,St. Andrews,1791
130,127,Davenport,1649
131,300,Bloor-Danforth N.B.,1577
132,169,Huntingwood,1514
133,103,Mt. Pleasant North,1449
134,82,Rosedale,1401
135,320,Yonge N.B.,1285
136,10,Van Horne,1212
137,55,Warren Park,1150
138,74,Mt. Pleasant,1137
139,120,Calvington,1135
140,115,Silver Hills,1116
141,167,Pharmacy North,1115
142,28,Davisville,1043
143,8,Broadview,920
144,508,Lake Shore,911
145,162,Lawrence-Donway,672
146,33,Forest Hill,615
147,144,Downtown/Don Valley Expr.,607
148,301,Queen N.C.,572
149,306,Carlton N.C.,534
150,171,Mt. Dennis,420
151,143,Downtown/Beach Express,415
152,321,York Mills N.B.,342
153,309,Finch West N.B.,338
154,101,Downsview Park,292
155,145,Downtown/Humber Bay Expr.,263
156,307,Eglinton West N.B.,255
157,329,Dufferin N.B.,250
158,313,Jane N.B.,233
159,142,Downtown/Avenue Rd. Expr.,225
160,303,Don Mills N.B.,222
161,305,Eglinton East NB,215
162,311,Islington N.B.,205
163,354,Lawrence East N.B.,196
164,310,Bathurst N.B.,191
165,99,Arrow  Road,184
166,319,Wilson N.B.,158
167,385,Sheppard East N.B.,131
168,141,Downtown/Mt. Pleasant Expr.,126
169,302,Danforth-McCowan N.B.,125
170,308,Finch East N.B.,122
171,316,Ossington N.B.,110
172,322,Coxwell N.B.,90
173,324,Victoria Park N.B.,89
174,352,Lawrence West N.B.,79
175,312,St. Clair N.C.,70
176,353,Steeles East N.B.,35
